ime_drzave,ime_izvajalca
Portugal,Carlos Paião
Norway,Finn Kalvik
Germany,Nicole
Israel,Avi Toledano
Switzerland,Arlette Zola
Belgium,Stella
Cyprus,Anna Vissi
Luxembourg,Svetlana
United Kingdom,Bardo
Sweden,Chips
Austria,Mess
Spain,Lucía
Ireland,The Duskeys
Norway,Jahn Teigen & Anita Skorgan
Portugal,Doce
Yugoslavia,Aska
Turkey,Neço
Netherlands,Bill van Dijk
Denmark,Brixx
Finland,Kojo
Luxembourg,Corinne Hermès
Israel,Ofra Haza
Sweden,Carola Häggkvist
Yugoslavia,Danijel
Germany,Hoffmann und Hoffmann
United Kingdom,Sweet Dreams
Netherlands,Bernadette
France,Guy Bonnet
Norway,Jahn Teigen
Austria,Westend
Italy,Riccardo Fogli
Finland,Ami Aspelund
Portugal,Armando Gama
Greece,Christie Stassinopoulou
Switzerland,Mariella Farré
Cyprus,Stavros and Constantina
Denmark,Gry Johansen
Belgium,Pas de Deux
Turkey,Çetin Alp and the Short Wave
Spain,Remedios Amaya
Sweden,Herrey's
Ireland,Linda Martin
Spain,Bravo
Denmark,Hot Eyes
Belgium,Jacques Zegers
Italy,Alice and Battiato
United Kingdom,Belle and the Devotions
France,Annick Thoumazeau
Finland,Kirka
Luxembourg,Sophie Carle
Portugal,Maria Guinot
Turkey,"Bes Yil Önce, On Yil Sonra"
Netherlands,Maribelle
Germany,Mary Roos
Cyprus,Andy Paul
Switzerland,Rainy Day
Norway,Dollie de Luxe
Yugoslavia,Vlado and Isolda
Austria,Anita
Norway,Bobbysocks
Germany,Wind
Sweden,Kikki Danielsson
United Kingdom,Vikki
Israel,Izhar Cohen
Ireland,Maria Christian
Italy,Al Bano and Romina Power
Austria,Gary Lux
Finland,Sonja Lumme
France,Roger Bens
Denmark,Hot Eyes
Switzerland,Mariella Farré and Pino Gasparini
Luxembourg,"Margo, Franck, Diane, Ireen, Malcolm & Chris"
Spain,Paloma San Basilio
Turkey,MFÖ
