leto,kdo,komu,tocke
1960,no,gb,2
1960,no,mc,0
1960,no,no,0
1960,no,de,0
1960,no,be,0
1960,no,at,0
1960,no,ch,1
1960,no,it,0
1960,no,se,0
1960,no,dk,2
1960,no,nl,0
1960,no,lu,0
1960,se,fr,4
1960,se,gb,1
1960,se,mc,0
1960,se,no,0
1960,se,de,1
1960,se,be,4
1960,se,at,0
1960,se,ch,0
1960,se,it,0
1960,se,se,0
1960,se,dk,0
1960,se,nl,0
1960,se,lu,0
1960,ch,fr,1
1960,ch,gb,4
1960,ch,mc,1
1960,ch,no,4
1960,ch,de,0
1960,ch,be,0
1960,ch,at,0
1960,ch,ch,0
1960,ch,it,0
1960,ch,se,0
1960,ch,dk,0
1960,ch,nl,0
1960,ch,lu,0
1960,gb,fr,5
1960,gb,gb,0
1960,gb,mc,1
1960,gb,no,1
1960,gb,de,0
1960,gb,be,0
1960,gb,at,2
1960,gb,ch,0
1960,gb,it,0
1960,gb,se,0
1960,gb,dk,1
1960,gb,nl,0
1960,gb,lu,0
1961,at,lu,4
1961,at,gb,0
1961,at,ch,2
1961,at,fr,0
1961,at,dk,0
1961,at,it,0
1961,at,no,0
1961,at,yu,3
1961,at,es,0
1961,at,mc,0
1961,at,fi,0
1961,at,nl,0
1961,at,de,1
1961,at,se,0
1961,at,at,0
1961,at,be,0
1961,be,lu,0
1961,be,gb,1
1961,be,ch,0
1961,be,fr,0
1961,be,dk,0
1961,be,it,4
1961,be,no,5
1961,be,yu,0
1961,be,es,0
1961,be,mc,0
1961,be,fi,0
1961,be,nl,0
1961,be,de,0
1961,be,se,0
1961,be,at,0
1961,be,be,0
1961,dk,lu,1
1961,dk,gb,1
1961,dk,ch,0
1961,dk,fr,0
1961,dk,dk,0
1961,dk,it,4
1961,dk,no,1
1961,dk,yu,1
1961,dk,es,0
1961,dk,mc,0
1961,dk,fi,1
1961,dk,nl,0
1961,dk,de,1
1961,dk,se,0
1961,dk,at,0
1961,dk,be,0
1961,fi,lu,3
1961,fi,gb,0
1961,fi,ch,0
1961,fi,fr,1
1961,fi,dk,1
1961,fi,it,0
1961,fi,no,2
1961,fi,yu,0
1961,fi,es,0
1961,fi,mc,3
1961,fi,fi,0
1961,fi,nl,0
1961,fi,de,0
1961,fi,se,0
1961,fi,at,0
1961,fi,be,0
1961,fr,lu,1
1961,fr,gb,0
1961,fr,ch,0
1961,fr,fr,0
1961,fr,dk,0
1961,fr,it,1
1961,fr,no,0
1961,fr,yu,2
1961,fr,es,2
1961,fr,mc,0
1961,fr,fi,1
1961,fr,nl,1
1961,fr,de,0
1961,fr,se,2
1961,fr,at,0
1961,fr,be,0
1961,de,lu,5
1961,de,gb,0
1961,de,ch,0
1961,de,fr,4
1961,de,dk,0
1961,de,it,0
1961,de,no,0
1961,de,yu,0
1961,de,es,0
1961,de,mc,0
1961,de,fi,0
1961,de,nl,1
1961,de,de,0
1961,de,se,0
1961,de,at,0
1961,de,be,0
1961,it,lu,3
1961,it,gb,1
1961,it,ch,2
1961,it,fr,0
1961,it,dk,0
1961,it,it,0
1961,it,no,0
1961,it,yu,0
1961,it,es,0
1961,it,mc,0
1961,it,fi,2
1961,it,nl,2
1961,it,de,0
1961,it,se,0
1961,it,at,0
1961,it,be,0
1961,lu,lu,0
1961,lu,gb,8
1961,lu,ch,0
1961,lu,fr,1
1961,lu,dk,0
1961,lu,it,0
1961,lu,no,0
1961,lu,yu,0
1961,lu,es,0
1961,lu,mc,0
1961,lu,fi,0
1961,lu,nl,0
1961,lu,de,0
1961,lu,se,0
1961,lu,at,0
1961,lu,be,1
1961,mc,lu,4
1961,mc,gb,0
1961,mc,ch,2
1961,mc,fr,2
1961,mc,dk,0
1961,mc,it,1
1961,mc,no,0
1961,mc,yu,0
1961,mc,es,1
1961,mc,mc,0
1961,mc,fi,0
1961,mc,nl,0
1961,mc,de,0
1961,mc,se,0
1961,mc,at,0
1961,mc,be,0
1961,nl,lu,1
1961,nl,gb,3
1961,nl,ch,2
1961,nl,fr,0
1961,nl,dk,1
1961,nl,it,1
1961,nl,no,0
1961,nl,yu,1
1961,nl,es,1
1961,nl,mc,0
1961,nl,fi,0
1961,nl,nl,0
1961,nl,de,0
1961,nl,se,0
1961,nl,at,0
1961,nl,be,0
1961,no,lu,0
1961,no,gb,0
1961,no,ch,0
1961,no,fr,0
1961,no,dk,8
1961,no,it,0
1961,no,no,0
1961,no,yu,0
1961,no,es,2
1961,no,mc,0
1961,no,fi,0
1961,no,nl,0
1961,no,de,0
1961,no,se,0
1961,no,at,0
1961,no,be,0
1961,es,lu,2
1961,es,gb,3
1961,es,ch,1
1961,es,fr,2
1961,es,dk,0
1961,es,it,0
1961,es,no,1
1961,es,yu,0
1961,es,es,0
1961,es,mc,1
1961,es,fi,0
1961,es,nl,0
1961,es,de,0
1961,es,se,0
1961,es,at,0
1961,es,be,0
1961,se,lu,1
1961,se,gb,0
1961,se,ch,4
1961,se,fr,1
1961,se,dk,2
1961,se,it,0
1961,se,no,0
1961,se,yu,0
1961,se,es,1
1961,se,mc,0
1961,se,fi,0
1961,se,nl,0
1961,se,de,1
1961,se,se,0
1961,se,at,0
1961,se,be,0
1961,ch,lu,1
1961,ch,gb,7
1961,ch,ch,0
1961,ch,fr,0
1961,ch,dk,0
1961,ch,it,0
1961,ch,no,0
1961,ch,yu,1
1961,ch,es,0
1961,ch,mc,1
1961,ch,fi,0
1961,ch,nl,0
1961,ch,de,0
1961,ch,se,0
1961,ch,at,0
1961,ch,be,0
1961,gb,lu,0
1961,gb,gb,0
1961,gb,ch,2
1961,gb,fr,2
1961,gb,dk,0
1961,gb,it,0
1961,gb,no,0
1961,gb,yu,1
1961,gb,es,1
1961,gb,mc,1
1961,gb,fi,2
1961,gb,nl,0
1961,gb,de,0
1961,gb,se,0
1961,gb,at,1
1961,gb,be,0
1961,yu,lu,5
1961,yu,gb,0
1961,yu,ch,1
1961,yu,fr,0
1961,yu,dk,0
1961,yu,it,1
1961,yu,no,1
1961,yu,yu,0
1961,yu,es,0
1961,yu,mc,0
1961,yu,fi,0
1961,yu,nl,2
1961,yu,de,0
1961,yu,se,0
1961,yu,at,0
1961,yu,be,0
1962,at,fr,2
1962,at,mc,3
1962,at,lu,1
1962,at,yu,0
1962,at,gb,0
1962,at,de,0
1962,at,fi,0
1962,at,se,0
1962,at,it,0
1962,at,dk,0
1962,at,no,0
1962,at,ch,0
1962,at,be,0
1962,at,es,0
1962,at,at,0
1962,at,nl,0
1962,be,fr,2
1962,be,mc,0
1962,be,lu,3
1962,be,yu,1
1962,be,gb,0
1962,be,de,0
1962,be,fi,0
1962,be,se,0
1962,be,it,0
1962,be,dk,0
1962,be,no,0
1962,be,ch,0
1962,be,be,0
1962,be,es,0
1962,be,at,0
1962,be,nl,0
1962,dk,fr,0
1962,dk,mc,0
1962,dk,lu,0
1962,dk,yu,0
1962,dk,gb,2
1962,dk,de,1
1962,dk,fi,0
1962,dk,se,3
1962,dk,it,0
1962,dk,dk,0
1962,dk,no,0
1962,dk,ch,0
1962,dk,be,0
1962,dk,es,0
1962,dk,at,0
1962,dk,nl,0
1962,fi,fr,0
1962,fi,mc,0
1962,fi,lu,0
1962,fi,yu,1
1962,fi,gb,3
1962,fi,de,2
1962,fi,fi,0
1962,fi,se,0
1962,fi,it,0
1962,fi,dk,0
1962,fi,no,0
1962,fi,ch,0
1962,fi,be,0
1962,fi,es,0
1962,fi,at,0
1962,fi,nl,0
1962,fr,fr,0
1962,fr,mc,1
1962,fr,lu,0
1962,fr,yu,3
1962,fr,gb,0
1962,fr,de,0
1962,fr,fi,0
1962,fr,se,0
1962,fr,it,0
1962,fr,dk,0
1962,fr,no,2
1962,fr,ch,0
1962,fr,be,0
1962,fr,es,0
1962,fr,at,0
1962,fr,nl,0
1962,de,fr,3
1962,de,mc,1
1962,de,lu,0
1962,de,yu,0
1962,de,gb,0
1962,de,de,0
1962,de,fi,0
1962,de,se,0
1962,de,it,0
1962,de,dk,0
1962,de,no,0
1962,de,ch,2
1962,de,be,0
1962,de,es,0
1962,de,at,0
1962,de,nl,0
1962,it,fr,2
1962,it,mc,0
1962,it,lu,0
1962,it,yu,3
1962,it,gb,0
1962,it,de,0
1962,it,fi,0
1962,it,se,0
1962,it,it,0
1962,it,dk,1
1962,it,no,0
1962,it,ch,0
1962,it,be,0
1962,it,es,0
1962,it,at,0
1962,it,nl,0
1962,lu,fr,1
1962,lu,mc,3
1962,lu,lu,0
1962,lu,yu,0
1962,lu,gb,0
1962,lu,de,0
1962,lu,fi,0
1962,lu,se,0
1962,lu,it,2
1962,lu,dk,0
1962,lu,no,0
1962,lu,ch,0
1962,lu,be,0
1962,lu,es,0
1962,lu,at,0
1962,lu,nl,0
1962,mc,fr,1
1962,mc,mc,0
1962,mc,lu,3
1962,mc,yu,0
1962,mc,gb,0
1962,mc,de,2
1962,mc,fi,0
1962,mc,se,0
1962,mc,it,0
1962,mc,dk,0
1962,mc,no,0
1962,mc,ch,0
1962,mc,be,0
1962,mc,es,0
1962,mc,at,0
1962,mc,nl,0
1962,nl,fr,0
1962,nl,mc,3
1962,nl,lu,0
1962,nl,yu,0
1962,nl,gb,0
1962,nl,de,2
1962,nl,fi,0
1962,nl,se,1
1962,nl,it,0
1962,nl,dk,0
1962,nl,no,0
1962,nl,ch,0
1962,nl,be,0
1962,nl,es,0
1962,nl,at,0
1962,nl,nl,0
1962,no,fr,3
1962,no,mc,2
1962,no,lu,0
1962,no,yu,0
1962,no,gb,0
1962,no,de,0
1962,no,fi,1
1962,no,se,0
1962,no,it,0
1962,no,dk,0
1962,no,no,0
1962,no,ch,0
1962,no,be,0
1962,no,es,0
1962,no,at,0
1962,no,nl,0
1962,es,fr,2
1962,es,mc,0
1962,es,lu,3
1962,es,yu,0
1962,es,gb,1
1962,es,de,0
1962,es,fi,0
1962,es,se,0
1962,es,it,0
1962,es,dk,0
1962,es,no,0
1962,es,ch,0
1962,es,be,0
1962,es,es,0
1962,es,at,0
1962,es,nl,0
1962,se,fr,3
1962,se,mc,0
1962,se,lu,0
1962,se,yu,2
1962,se,gb,0
1962,se,de,0
1962,se,fi,0
1962,se,se,0
1962,se,it,0
1962,se,dk,1
1962,se,no,0
1962,se,ch,0
1962,se,be,0
1962,se,es,0
1962,se,at,0
1962,se,nl,0
1962,ch,fr,3
1962,ch,mc,0
1962,ch,lu,1
1962,ch,yu,0
1962,ch,gb,2
1962,ch,de,0
1962,ch,fi,0
1962,ch,se,0
1962,ch,it,0
1962,ch,dk,0
1962,ch,no,0
1962,ch,ch,0
1962,ch,be,0
1962,ch,es,0
1962,ch,at,0
1962,ch,nl,0
1962,gb,fr,1
1962,gb,mc,0
1962,gb,lu,0
1962,gb,yu,0
1962,gb,gb,0
1962,gb,de,2
1962,gb,fi,3
1962,gb,se,0
1962,gb,it,0
1962,gb,dk,0
1962,gb,no,0
1962,gb,ch,0
1962,gb,be,0
1962,gb,es,0
1962,gb,at,0
1962,gb,nl,0
1962,yu,fr,3
1962,yu,mc,0
1962,yu,lu,0
1962,yu,yu,0
1962,yu,gb,2
1962,yu,de,0
1962,yu,fi,0
1962,yu,se,0
1962,yu,it,1
1962,yu,dk,0
1962,yu,no,0
1962,yu,ch,0
1962,yu,be,0
1962,yu,es,0
1962,yu,at,0
1962,yu,nl,0
1963,at,dk,3
1963,at,ch,5
1963,at,it,0
1963,at,gb,0
1963,at,fr,2
1963,at,mc,1
1963,at,at,0
1963,at,lu,0
1963,at,de,0
1963,at,be,4
1963,at,yu,0
1963,at,es,0
1963,at,nl,0
1963,at,no,0
1963,at,fi,0
1963,at,se,0
1963,be,dk,5
1963,be,ch,4
1963,be,it,3
1963,be,gb,0
1963,be,fr,1
1963,be,mc,0
1963,be,at,2
1963,be,lu,0
1963,be,de,0
1963,be,be,0
1963,be,yu,0
1963,be,es,0
1963,be,nl,0
1963,be,no,0
1963,be,fi,0
1963,be,se,0
1963,dk,dk,0
1963,dk,ch,4
1963,dk,it,5
1963,dk,gb,3
1963,dk,fr,0
1963,dk,mc,0
1963,dk,at,1
1963,dk,lu,2
1963,dk,de,0
1963,dk,be,0
1963,dk,yu,0
1963,dk,es,0
1963,dk,nl,0
1963,dk,no,0
1963,dk,fi,0
1963,dk,se,0
1963,fi,dk,5
1963,fi,ch,0
1963,fi,it,2
1963,fi,gb,3
1963,fi,fr,0
1963,fi,mc,0
1963,fi,at,4
1963,fi,lu,1
1963,fi,de,0
1963,fi,be,0
1963,fi,yu,0
1963,fi,es,0
1963,fi,nl,0
1963,fi,no,0
1963,fi,fi,0
1963,fi,se,0
1963,fr,dk,0
1963,fr,ch,0
1963,fr,it,0
1963,fr,gb,3
1963,fr,fr,0
1963,fr,mc,5
1963,fr,at,2
1963,fr,lu,4
1963,fr,de,0
1963,fr,be,0
1963,fr,yu,1
1963,fr,es,0
1963,fr,nl,0
1963,fr,no,0
1963,fr,fi,0
1963,fr,se,0
1963,de,dk,2
1963,de,ch,4
1963,de,it,0
1963,de,gb,0
1963,de,fr,1
1963,de,mc,5
1963,de,at,0
1963,de,lu,3
1963,de,de,0
1963,de,be,0
1963,de,yu,0
1963,de,es,0
1963,de,nl,0
1963,de,no,0
1963,de,fi,0
1963,de,se,0
1963,it,dk,2
1963,it,ch,5
1963,it,it,0
1963,it,gb,0
1963,it,fr,4
1963,it,mc,3
1963,it,at,0
1963,it,lu,1
1963,it,de,0
1963,it,be,0
1963,it,yu,0
1963,it,es,0
1963,it,nl,0
1963,it,no,0
1963,it,fi,0
1963,it,se,0
1963,lu,dk,5
1963,lu,ch,3
1963,lu,it,4
1963,lu,gb,0
1963,lu,fr,1
1963,lu,mc,2
1963,lu,at,0
1963,lu,lu,0
1963,lu,de,0
1963,lu,be,0
1963,lu,yu,0
1963,lu,es,0
1963,lu,nl,0
1963,lu,no,0
1963,lu,fi,0
1963,lu,se,0
1963,mc,dk,0
1963,mc,ch,4
1963,mc,it,5
1963,mc,gb,1
1963,mc,fr,2
1963,mc,mc,0
1963,mc,at,0
1963,mc,lu,0
1963,mc,de,3
1963,mc,be,0
1963,mc,yu,0
1963,mc,es,0
1963,mc,nl,0
1963,mc,no,0
1963,mc,fi,0
1963,mc,se,0
1963,nl,dk,5
1963,nl,ch,0
1963,nl,it,1
1963,nl,gb,3
1963,nl,fr,4
1963,nl,mc,2
1963,nl,at,0
1963,nl,lu,0
1963,nl,de,0
1963,nl,be,0
1963,nl,yu,0
1963,nl,es,0
1963,nl,nl,0
1963,nl,no,0
1963,nl,fi,0
1963,nl,se,0
1963,no,dk,4
1963,no,ch,1
1963,no,it,3
1963,no,gb,5
1963,no,fr,0
1963,no,mc,0
1963,no,at,0
1963,no,lu,0
1963,no,de,2
1963,no,be,0
1963,no,yu,0
1963,no,es,0
1963,no,nl,0
1963,no,no,0
1963,no,fi,0
1963,no,se,0
1963,es,dk,0
1963,es,ch,4
1963,es,it,3
1963,es,gb,5
1963,es,fr,1
1963,es,mc,0
1963,es,at,0
1963,es,lu,0
1963,es,de,0
1963,es,be,0
1963,es,yu,2
1963,es,es,0
1963,es,nl,0
1963,es,no,0
1963,es,fi,0
1963,es,se,0
1963,se,dk,5
1963,se,ch,1
1963,se,it,0
1963,se,gb,2
1963,se,fr,0
1963,se,mc,4
1963,se,at,3
1963,se,lu,0
1963,se,de,0
1963,se,be,0
1963,se,yu,0
1963,se,es,0
1963,se,nl,0
1963,se,no,0
1963,se,fi,0
1963,se,se,0
1963,ch,dk,3
1963,ch,ch,0
1963,ch,it,5
1963,ch,gb,0
1963,ch,fr,4
1963,ch,mc,1
1963,ch,at,0
1963,ch,lu,2
1963,ch,de,0
1963,ch,be,0
1963,ch,yu,0
1963,ch,es,0
1963,ch,nl,0
1963,ch,no,0
1963,ch,fi,0
1963,ch,se,0
1963,gb,dk,3
1963,gb,ch,5
1963,gb,it,2
1963,gb,gb,0
1963,gb,fr,0
1963,gb,mc,1
1963,gb,at,4
1963,gb,lu,0
1963,gb,de,0
1963,gb,be,0
1963,gb,yu,0
1963,gb,es,0
1963,gb,nl,0
1963,gb,no,0
1963,gb,fi,0
1963,gb,se,0
1963,yu,dk,0
1963,yu,ch,0
1963,yu,it,4
1963,yu,gb,3
1963,yu,fr,5
1963,yu,mc,1
1963,yu,at,0
1963,yu,lu,0
1963,yu,de,0
1963,yu,be,0
1963,yu,yu,0
1963,yu,es,2
1963,yu,nl,0
1963,yu,no,0
1963,yu,fi,0
1963,yu,se,0
1964,at,it,5
1964,at,gb,1
1964,at,mc,0
1964,at,lu,0
1964,at,fr,3
1964,at,at,0
1964,at,fi,0
1964,at,no,0
1964,at,dk,0
1964,at,nl,0
1964,at,be,0
1964,at,es,0
1964,at,de,0
1964,at,pt,0
1964,at,yu,0
1964,at,ch,0
1964,be,it,5
1964,be,gb,0
1964,be,mc,3
1964,be,lu,0
1964,be,fr,0
1964,be,at,1
1964,be,fi,0
1964,be,no,0
1964,be,dk,0
1964,be,nl,0
1964,be,be,0
1964,be,es,0
1964,be,de,0
1964,be,pt,0
1964,be,yu,0
1964,be,ch,0
1964,dk,it,0
1964,dk,gb,0
1964,dk,mc,0
1964,dk,lu,0
1964,dk,fr,0
1964,dk,at,0
1964,dk,fi,3
1964,dk,no,5
1964,dk,dk,0
1964,dk,nl,1
1964,dk,be,0
1964,dk,es,0
1964,dk,de,0
1964,dk,pt,0
1964,dk,yu,0
1964,dk,ch,0
1964,fi,it,5
1964,fi,gb,3
1964,fi,mc,0
1964,fi,lu,0
1964,fi,fr,0
1964,fi,at,0
1964,fi,fi,0
1964,fi,no,1
1964,fi,dk,0
1964,fi,nl,0
1964,fi,be,0
1964,fi,es,0
1964,fi,de,0
1964,fi,pt,0
1964,fi,yu,0
1964,fi,ch,0
1964,fr,it,0
1964,fr,gb,1
1964,fr,mc,5
1964,fr,lu,3
1964,fr,fr,0
1964,fr,at,0
1964,fr,fi,0
1964,fr,no,0
1964,fr,dk,0
1964,fr,nl,0
1964,fr,be,0
1964,fr,es,0
1964,fr,de,0
1964,fr,pt,0
1964,fr,yu,0
1964,fr,ch,0
1964,de,it,3
1964,de,gb,1
1964,de,mc,0
1964,de,lu,5
1964,de,fr,0
1964,de,at,0
1964,de,fi,0
1964,de,no,0
1964,de,dk,0
1964,de,nl,0
1964,de,be,0
1964,de,es,0
1964,de,de,0
1964,de,pt,0
1964,de,yu,0
1964,de,ch,0
1964,it,it,0
1964,it,gb,0
1964,it,mc,0
1964,it,lu,3
1964,it,fr,0
1964,it,at,5
1964,it,fi,0
1964,it,no,0
1964,it,dk,0
1964,it,nl,0
1964,it,be,0
1964,it,es,1
1964,it,de,0
1964,it,pt,0
1964,it,yu,0
1964,it,ch,0
1964,lu,it,5
1964,lu,gb,0
1964,lu,mc,3
1964,lu,lu,0
1964,lu,fr,1
1964,lu,at,0
1964,lu,fi,0
1964,lu,no,0
1964,lu,dk,0
1964,lu,nl,0
