leto,ime_drzave,ime_izvajalca,naslov_pesmi,mesto,tocke_v_finalu,youtube_link
2010,Finland,Kuunkuiskaajat,Työlki Ellää,27.0,,https://youtube.com/watch?v=oicT3jWtsc4
2010,Lithuania,InCulto,Eastern European Funk,28.0,,https://youtube.com/watch?v=XeOn-GG_eHo
2010,Malta,Thea Garrett,My Dream,29.0,,https://youtube.com/watch?v=iwgF3TC2Kj0
2010,Poland,Marcin Mroziński,Legenda,30.0,,https://youtube.com/watch?v=VmEUURZXUlE
2010,Estonia,Malcolm Lincoln,Siren,31.0,,https://youtube.com/watch?v=yFbVAQjESzE
2010,North Macedonia,Gjoko Taneski,Jas Ja Imam Silata,32.0,,https://youtube.com/watch?v=3sYNmPkivyU
2010,Croatia,Feminnem,Lako Je Sve,33.0,,https://youtube.com/watch?v=x2M9zNayOF0
2010,Netherlands,Sieneke,Ik Ben Verliefd (Sha-la-lie),34.0,,https://youtube.com/watch?v=HdA2SsM3BLI
2010,Slovakia,Kristina Pelakova,Horehronie,35.0,,https://youtube.com/watch?v=j8G6byTMr0o
2010,Bulgaria,Miro,Angel Si Ti,36.0,,https://youtube.com/watch?v=YTyTL04vlEw
2010,Latvia,Aisha,What For?,37.0,,https://youtube.com/watch?v=oRjtqVkj5w0
2010,Slovenia,Ansambel Žlindra & Kalamari,Narodnozabavni Rock,38.0,,https://youtube.com/watch?v=2faHkE1JZwc
2010,Switzerland,Michael von der Heide,Il Pleut de L'Or,39.0,,https://youtube.com/watch?v=qW2UPf1_Lcg
2011,Azerbaijan,Ell/Nikki,Running Scared,1.0,221.0,https://youtube.com/watch?v=_0tlQUW5X0U
2011,Italy,Raphael Gualazzi,Madness Of Love,2.0,189.0,https://youtube.com/watch?v=TE0uNLp3LuU
2011,Sweden,Eric Saade,Popular,3.0,185.0,https://youtube.com/watch?v=-04pUETT7oI
2011,Ukraine,Mika Newton,Angel,4.0,159.0,https://youtube.com/watch?v=g_xRmEkR6KE
2011,Denmark,A Friend In London,New Tomorrow,5.0,134.0,https://youtube.com/watch?v=YDXeK0r3aKs
2011,Bosnia & Herzegovina,Dino Merlin,Love In Rewind,6.0,125.0,https://youtube.com/watch?v=mBg3coarF_8
2011,Greece,Loucas Yiorkas feat. Stereo Mike,Watch My Dance,7.0,120.0,https://youtube.com/watch?v=FdZzklXoAOg
2011,Ireland,Jedward,Lipstick,8.0,119.0,https://youtube.com/watch?v=XgrlG6hQbNM
2011,Georgia,Eldrine,One More Day,9.0,110.0,https://youtube.com/watch?v=CfJVlssy0cc
2011,Germany,Lena,Taken By A Stranger,10.0,107.0,https://youtube.com/watch?v=KqZprvpWlcE
2011,United Kingdom,Blue,I Can,11.0,100.0,https://youtube.com/watch?v=y1dXMWWq6y8
2011,Moldova,Zdob și Zdub,So Lucky,12.0,97.0,https://youtube.com/watch?v=nHAY_OVN_gY
2011,Slovenia,Maja Keuc,No One,13.0,96.0,https://youtube.com/watch?v=NNP3nfvoqps
2011,Serbia,Nina,Čaroban,14.0,85.0,https://youtube.com/watch?v=-CWvXKxjCs8
2011,France,Amaury Vassili,Sognu,15.0,82.0,https://youtube.com/watch?v=OTiBNPT-x_Y
2011,Russia,Alexej Vorobjov,Get You,16.0,77.0,https://youtube.com/watch?v=C-3ohaRN3MM
2011,Romania,Hotel FM,Change,17.0,77.0,https://youtube.com/watch?v=2a1Q_hpGLbs
2011,Austria,Nadine Beiler,The Secret Is Love,18.0,64.0,https://youtube.com/watch?v=UsBC5AB1tFo
2011,Lithuania,Evelina Sašenko,C'est Ma Vie,19.0,63.0,https://youtube.com/watch?v=S3_aSVE4t3M
2011,Iceland,Sjonni's Friends,Coming Home,20.0,61.0,https://youtube.com/watch?v=apc_qJf3nws
2011,Finland,Paradise Oskar,Da Da Dam,21.0,57.0,https://youtube.com/watch?v=1Fj9of4IzFU
2011,Hungary,Kati Wolf,What About My Dreams?,22.0,53.0,https://youtube.com/watch?v=IuGUz1ExflY
2011,Spain,Lucía Pérez,Que Me Quiten Lo Bailao,23.0,50.0,https://youtube.com/watch?v=91bKjEojSDU
2011,Estonia,Getter Jaani,Rockefeller Street,24.0,44.0,https://youtube.com/watch?v=UxvmdR7oYdQ
2011,Switzerland,Anna Rossinelli,In Love For A While,25.0,19.0,https://youtube.com/watch?v=wxLE5FmNJow
2011,Malta,Glen Vella,One Life,26.0,,https://youtube.com/watch?v=U9YRL_pHxvU
2011,Armenia,Emmy,Boom Boom,27.0,,https://youtube.com/watch?v=zqJD7fPSWAc
2011,Belgium,Witloof Bay,With Love Baby,28.0,,https://youtube.com/watch?v=nTLAzDVu80E
2011,Turkey,Yüksek Sadakat,Live It Up,29.0,,https://youtube.com/watch?v=RgqKYI6myHM
2011,Albania,Aurela Gaçe,Feel The Passion,30.0,,https://youtube.com/watch?v=Mq0H6gY2jq4
2011,Bulgaria,Poli Genova,Na Inat,31.0,,https://youtube.com/watch?v=NuenJb-vw9A
2011,Slovakia,TWiiNS,I'm Still Alive,32.0,,https://youtube.com/watch?v=6OUulUX7_hE
2011,Belarus,Anastasiya Vinnikova,I Love Belarus,33.0,,https://youtube.com/watch?v=frhQMuyH0lg
2011,Croatia,Daria,Celebrate,34.0,,https://youtube.com/watch?v=wTJzolnObu0
2011,Israel,Dana International,Ding Dong,35.0,,https://youtube.com/watch?v=bWVuuvqEArE
